"meterID","kwh","time","day"
1000,0.117,1,195
1000,0.05,2,195
1000,0.025,3,195
1000,0.025,4,195
1000,0.049,5,195
1000,0.117,6,195
1000,0.042,7,195
1000,0.024,8,195
1000,0.024,9,195
1000,0.048,10,195
1000,0.114,11,195
1000,0.039,12,195
1000,0.024,13,195
1000,0.024,14,195
1000,0.049,15,195
1000,0.113,16,195
1000,0.036,17,195
1000,0.102,18,195
1000,0.114,19,195
1000,0.092,20,195
1000,0.029,21,195
1000,0.03,22,195
1000,0.03,23,195
1000,0.09,24,195
1000,0.111,25,195
1000,0.03,26,195
1000,0.029,27,195
1000,0.029,28,195
1000,0.079,29,195
1000,0.119,30,195
1000,0.03,31,195
1000,0.031,32,195
1000,0.031,33,195
1000,0.079,34,195
1000,0.098,35,195
1000,0.029,36,195
1000,0.028,37,195
1000,0.024,38,195
1000,1.597,39,195
1000,3.453,40,195
1000,1.288,41,195
1000,0.102,42,195
1000,0.789,43,195
1000,0.195,44,195
1000,0.129,45,195
1000,1.133,46,195
1000,0.211,47,195
1000,0.152,48,195
