meterID,kwh,time,day,norm_Kwh
1000,0.117,1,195,0.0271216
1000,0.05,2,195,0.00758239
1000,0.025,3,195,0.00029163
1000,0.025,4,195,0.00029163
1000,0.049,5,195,0.00729076
1000,0.117,6,195,0.0271216
1000,0.042,7,195,0.00524934
1000,0.024,8,195,0
1000,0.024,9,195,0
1000,0.048,10,195,0.00699913
1000,0.114,11,195,0.0262467
1000,0.039,12,195,0.00437445
1000,0.024,13,195,0
1000,0.024,14,195,0
1000,0.049,15,195,0.00729076
1000,0.113,16,195,0.0259551
1000,0.036,17,195,0.00349956
1000,0.102,18,195,0.0227472
1000,0.114,19,195,0.0262467
1000,0.092,20,195,0.0198309
1000,0.029,21,195,0.00145815
1000,0.03,22,195,0.00174978
1000,0.03,23,195,0.00174978
1000,0.09,24,195,0.0192476
1000,0.111,25,195,0.0253718
1000,0.03,26,195,0.00174978
1000,0.029,27,195,0.00145815
1000,0.029,28,195,0.00145815
1000,0.079,29,195,0.0160397
1000,0.119,30,195,0.0277049
1000,0.03,31,195,0.00174978
1000,0.031,32,195,0.00204141
1000,0.031,33,195,0.00204141
1000,0.079,34,195,0.0160397
1000,0.098,35,195,0.0215806
1000,0.029,36,195,0.00145815
1000,0.028,37,195,0.00116652
1000,0.024,38,195,0
1000,1.597,39,195,0.458734
1000,3.453,40,195,1
1000,1.288,41,195,0.368621
1000,0.102,42,195,0.0227472
1000,0.789,43,195,0.223097
1000,0.195,44,195,0.0498688
1000,0.129,45,195,0.0306212
1000,1.133,46,195,0.323418
1000,0.211,47,195,0.0545348
1000,0.152,48,195,0.0373287
