day,Class,time,kwh_min,kwh_max,kwh_avg,kwh_sum,count
195,,11,0.017,2.379,0.3379500000000001,13.518000000000004,40
195,,19,0.007,10.448,1.081,43.24,40
195,,26,0.007,9.432,1.3246999999999998,52.98799999999999,40
195,,33,0.023,9.001,1.5754000000000001,63.016000000000005,40
195,,40,0.028,9.011,0.9577499999999999,38.309999999999995,40
195,,48,0.014,2.115,0.44347499999999995,17.738999999999997,40
195,A,11,0.112,0.112,0.112,0.112,1
195,A,19,0.115,0.115,0.115,0.115,1
195,A,26,0.086,0.086,0.086,0.086,1
195,A,33,0.115,0.115,0.115,0.115,1
195,A,40,0.111,0.111,0.111,0.111,1
195,A,48,0.109,0.109,0.109,0.109,1
195,C,11,0.074,0.193,0.12625,0.505,4
195,C,19,0.035,1.64,0.48574999999999996,1.9429999999999998,4
195,C,26,0.043,1.854,0.6527499999999999,2.6109999999999998,4
195,C,33,0.067,0.638,0.30724999999999997,1.2289999999999999,4
195,C,40,0.021,1.194,0.47725,1.909,4
195,C,48,0.128,0.414,0.25875000000000004,1.0350000000000001,4
195,E,11,0.062,0.164,0.12333333333333334,0.37,3
195,E,19,0.069,0.291,0.16733333333333333,0.502,3
195,E,26,0.007,1.448,0.5079999999999999,1.5239999999999998,3
195,E,33,0.0,0.147,0.08,0.24,3
195,E,40,0.045,0.494,0.20633333333333334,0.619,3
195,E,48,0.088,1.462,0.6789999999999999,2.037,3
195,G,11,0.067,0.325,0.1955,1.173,6
195,G,19,0.116,1.005,0.4098333333333333,2.459,6
195,G,26,0.22,1.75,0.8363333333333335,5.018000000000001,6
195,G,33,0.239,1.256,0.5856666666666667,3.5140000000000002,6
195,G,40,0.228,3.709,1.2383333333333333,7.43,6
195,G,48,0.234,1.059,0.503,3.018,6
195,H,11,0.024,0.377,0.167,0.501,3
195,H,19,0.023,2.064,0.8073333333333333,2.422,3
195,H,26,0.11,3.045,1.1736666666666666,3.521,3
195,H,33,0.024,0.436,0.25833333333333336,0.775,3
195,H,40,0.762,0.96,0.8489999999999999,2.5469999999999997,3
195,H,48,0.087,0.419,0.24733333333333332,0.742,3
195,I,11,0.02,0.551,0.16730769230769232,4.3500000000000005,26
195,I,19,0.009,3.398,0.5001153846153846,13.003,26
195,I,26,0.009,1.902,0.5558846153846153,14.453,26
195,I,33,0.008,3.147,0.6667692307692306,17.335999999999995,26
195,I,40,0.008,4.156,0.5982692307692308,15.555,26
195,I,48,0.062,2.023,0.45665384615384635,11.873000000000005,26
195,J,11,0.158,0.158,0.158,0.158,1
195,J,19,0.453,0.453,0.453,0.453,1
195,J,26,1.548,1.548,1.548,1.548,1
195,J,33,1.069,1.069,1.069,1.069,1
195,J,40,0.298,0.298,0.298,0.298,1
195,J,48,0.411,0.411,0.411,0.411,1
195,K,11,0.015,0.253,0.08241666666666667,0.989,12
195,K,19,0.03,0.39,0.16325,1.959,12
195,K,26,0.023,0.413,0.13075,1.569,12
195,K,33,0.017,1.443,0.2755,3.306,12
195,K,40,0.045,0.764,0.21458333333333335,2.575,12
195,K,48,0.032,0.705,0.21866666666666668,2.624,12
195,M,11,0.234,0.387,0.3105,0.621,2
195,M,19,0.192,2.413,1.3025,2.605,2
195,M,26,0.402,1.242,0.8220000000000001,1.6440000000000001,2
195,M,33,1.228,1.526,1.377,2.754,2
195,M,40,0.332,1.128,0.73,1.46,2
195,M,48,0.477,1.058,0.7675000000000001,1.5350000000000001,2
195,O,11,0.305,0.305,0.305,0.305,1
195,O,19,0.4,0.4,0.4,0.4,1
195,O,26,1.374,1.374,1.374,1.374,1
195,O,33,0.35,0.35,0.35,0.35,1
195,O,40,0.398,0.398,0.398,0.398,1
195,O,48,0.862,0.862,0.862,0.862,1
196,,11,0.018,2.126,0.33159999999999995,13.263999999999998,40
196,,19,0.007,8.778,0.99705,39.882,40
196,,26,0.007,9.695,1.1905249999999996,47.62099999999999,40
196,,33,0.004,10.375,1.2167249999999998,48.669,40
196,,40,0.042,9.57,0.9241000000000001,36.964000000000006,40
196,,48,0.017,2.135,0.4181750000000001,16.727000000000004,40
196,A,11,0.025,0.025,0.025,0.025,1
196,A,19,0.029,0.029,0.029,0.029,1
196,A,26,0.025,0.025,0.025,0.025,1
196,A,33,0.115,0.115,0.115,0.115,1
196,A,40,0.112,0.112,0.112,0.112,1
196,A,48,0.109,0.109,0.109,0.109,1
196,C,11,0.021,0.443,0.192,0.768,4
196,C,19,0.061,5.576,1.6575,6.63,4
196,C,26,0.077,4.581,1.43975,5.759,4
196,C,33,0.028,3.478,1.32775,5.311,4
196,C,40,0.065,1.943,0.8935,3.574,4
196,C,48,0.067,1.444,0.4715,1.886,4
196,E,11,0.05,0.162,0.12366666666666666,0.371,3
196,E,19,0.066,0.167,0.11566666666666665,0.347,3
196,E,26,0.0,1.05,0.36533333333333334,1.096,3
196,E,33,0.059,0.12,0.09866666666666667,0.296,3
196,E,40,0.068,2.052,0.7516666666666666,2.255,3
196,E,48,0.069,0.27,0.15366666666666667,0.461,3
196,G,11,0.119,0.464,0.29216666666666663,1.753,6
196,G,19,0.13,2.201,0.87,5.22,6
196,G,26,0.31,2.771,1.1925,7.154999999999999,6
196,G,33,0.048,1.576,0.48033333333333333,2.882,6
196,G,40,0.136,1.649,0.5021666666666668,3.0130000000000003,6
196,G,48,0.229,0.606,0.4136666666666667,2.482,6
196,H,11,0.022,0.412,0.221,0.663,3
196,H,19,0.201,1.027,0.5213333333333333,1.564,3
196,H,26,0.251,0.507,0.35766666666666663,1.073,3
196,H,33,0.043,0.509,0.34900000000000003,1.0470000000000002,3
196,H,40,0.097,1.064,0.5336666666666666,1.601,3
196,H,48,0.081,0.728,0.336,1.008,3
196,I,11,0.029,0.551,0.15557692307692308,4.045,26
196,I,19,0.009,2.108,0.42515384615384616,11.054,26
196,I,26,0.009,1.182,0.3227692307692308,8.392000000000001,26
196,I,33,0.008,1.167,0.2897692307692308,7.534000000000001,26
196,I,40,0.008,1.921,0.6131153846153846,15.940999999999999,26
196,I,48,0.001,1.416,0.44092307692307703,11.464000000000002,26
196,J,11,0.16,0.16,0.16,0.16,1
196,J,19,0.819,0.819,0.819,0.819,1
196,J,26,1.048,1.048,1.048,1.048,1
196,J,33,0.67,0.67,0.67,0.67,1
196,J,40,0.109,0.109,0.109,0.109,1
196,J,48,0.621,0.621,0.621,0.621,1
196,K,11,0.041,0.161,0.09433333333333334,1.1320000000000001,12
196,K,19,0.011,0.434,0.17049999999999998,2.046,12
196,K,26,0.014,1.122,0.2674166666666667,3.209,12
196,K,33,0.034,3.641,0.42366666666666664,5.084,12
196,K,40,0.032,0.384,0.13116666666666668,1.574,12
196,K,48,0.027,0.594,0.1775,2.13,12
196,M,11,0.237,0.451,0.344,0.688,2
196,M,19,0.225,0.359,0.292,0.584,2
196,M,26,0.379,0.523,0.451,0.902,2
196,M,33,0.242,0.546,0.394,0.788,2
196,M,40,0.345,4.791,2.568,5.136,2
196,M,48,0.546,1.45,0.998,1.996,2
196,O,11,0.233,0.233,0.233,0.233,1
196,O,19,0.213,0.213,0.213,0.213,1
196,O,26,2.821,2.821,2.821,2.821,1
196,O,33,0.56,0.56,0.56,0.56,1
196,O,40,0.138,0.138,0.138,0.138,1
196,O,48,0.594,0.594,0.594,0.594,1
197,,11,0.004,2.143,0.3278,13.111999999999998,40
197,,19,0.013,9.386,1.1078499999999996,44.313999999999986,40
197,,26,0.023,9.856,1.1645750000000004,46.58300000000001,40
197,,33,0.029,9.82,1.1753749999999998,47.01499999999999,40
197,,40,0.017,9.229,1.1639,46.556,40
197,,48,0.006,2.41,0.5178750000000002,20.715000000000007,40
197,A,11,0.036,0.036,0.036,0.036,1
197,A,19,0.119,0.119,0.119,0.119,1
197,A,26,0.069,0.069,0.069,0.069,1
197,A,33,0.074,0.074,0.074,0.074,1
197,A,40,0.066,0.066,0.066,0.066,1
197,A,48,0.041,0.041,0.041,0.041,1
197,C,11,0.021,0.158,0.0985,0.394,4
197,C,19,0.066,0.699,0.36374999999999996,1.4549999999999998,4
197,C,26,0.026,1.491,0.61575,2.463,4
197,C,33,0.043,1.252,0.5785,2.314,4
197,C,40,0.067,0.938,0.35574999999999996,1.4229999999999998,4
197,C,48,0.04,0.585,0.21825,0.873,4
197,E,11,0.035,0.129,0.08800000000000001,0.264,3
197,E,19,0.0,0.345,0.15333333333333332,0.45999999999999996,3
197,E,26,0.049,0.725,0.28099999999999997,0.843,3
197,E,33,0.017,0.118,0.06733333333333334,0.202,3
197,E,40,0.022,0.139,0.08433333333333333,0.253,3
197,E,48,0.054,0.187,0.108,0.324,3
197,G,11,0.044,0.314,0.15216666666666667,0.913,6
197,G,19,0.129,0.468,0.2828333333333333,1.6969999999999998,6
197,G,26,0.225,3.746,1.0119999999999998,6.071999999999999,6
197,G,33,0.067,1.97,0.5731666666666667,3.439,6
197,G,40,0.115,1.525,0.7741666666666666,4.645,6
197,G,48,0.222,1.878,0.6226666666666667,3.736,6
197,H,11,0.076,0.421,0.205,0.615,3
197,H,19,0.035,0.415,0.21233333333333335,0.637,3
197,H,26,0.244,0.556,0.39266666666666666,1.178,3
197,H,33,0.379,0.534,0.47900000000000004,1.437,3
197,H,40,0.212,2.765,1.1646666666666667,3.494,3
197,H,48,0.332,0.872,0.5343333333333333,1.603,3
197,I,11,0.019,0.564,0.16076923076923075,4.18,26
197,I,19,0.009,3.226,0.5021923076923076,13.056999999999999,26
197,I,26,0.008,1.741,0.3808461538461537,9.901999999999997,26
